coimbatore_living_costsres_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway
3000685,Abitha Biriyani Hotel,['Quick Bites'],https://www.zomato.com/coimbatore/abitha-biriyani-hotel-ukkadam?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"123, EK Street, Masjid Road, Ukkadam, Coimbatore",Coimbatore,30,Ukkadam,10.989848741300001,76.96329005060001,,1,"Ukkadam, Coimbatore","Biryani, South Indian",6 AM to 12 Midnight,700,2,Rs.,"['Lunch', 'Cash', 'Breakfast', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Indoor Seating']",4.7,Excellent,678,13,0,1,-1
18938946,AB's - Absolute Barbecue,['Casual Dining'],https://www.zomato.com/coimbatore/abs-absolute-barbecue-peelamedu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Vignesvar Cresta, Door 1095, Avinashi Road, Peelamedu, Coimbatore",Coimbatore,30,Peelamedu,11.0133573,76.9859393,,1,"Peelamedu, Coimbatore","European, Mediterranean, North Indian, BBQ","12 Noon to 4 PM, 6:30 PM to 12 Midnight",1400,3,Rs.,"['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Buffet', 'Digital Payments Accepted']",4.9,Excellent,600,90,0,-1,-1
3000214,Shahi Grill,['Casual Dining'],https://www.zomato.com/coimbatore/shahi-grill-peelamedu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"661, Devaraj Complex, Avinashi Rd, Peelamedu, Coimbatore",Coimbatore,30,Peelamedu,11.021700966,76.99841424819999,,1,"Peelamedu, Coimbatore","Chettinad, North Indian, Chinese",12 Noon to 10:30 PM,350,2,Rs.,"['Cash', 'Debit Card', 'Delivery', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Air Conditioned', 'Indoor Seating']",4.2,Very Good,712,55,0,-1,-1
3000152,Cock Ra Co,['Casual Dining'],https://www.zomato.com/coimbatore/cock-ra-co-rs-puram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"14, TV Swamy Road, Opposite Viswa and Devji, RS Puram, Coimbatore",Coimbatore,30,RS Puram,11.0106732187,76.9537045062,,1,"RS Puram, Coimbatore","North Indian, Chinese, South Indian","12 Noon to 4 PM, 6 PM to 11:30 PM",550,2,Rs.,"['Takeaway Available', 'No Alcohol Available', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'Credit Card', 'Table booking recommended', 'Air Conditioned', 'Indoor Seating']",4.2,Very Good,544,131,0,1,-1
3001032,Burger Ka Baap,['Quick Bites'],https://www.zomato.com/coimbatore/burger-ka-baap-peelamedu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Avinashi Road, Near PSG College Of Technology, Peelamedu, Coimbatore",Coimbatore,30,Peelamedu,11.0218994083,76.9995461404,,1,"Peelamedu, Coimbatore","Fast Food, Burger","11 AM to 10:30 PM (Mon-Thu, Sat-Sun), 3 PM to 10:30 PM (Fri)",500,2,Rs.,"['Credit Card', 'Takeaway Available', 'Lunch', 'Delivery', 'Cash', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Indoor Seating']",4.8,Excellent,862,384,0,1,-1
3002263,MSR Biriyani Hotel,['Casual Dining'],https://www.zomato.com/coimbatore/msr-biriyani-hotel-podanur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"11/27, Sarada Mill Road, Podanur, Coimbatore",Coimbatore,30,Podanur,10.9602830555,76.9838686287,,1,"Podanur, Coimbatore",Biryani,11 AM to 10 PM,300,1,Rs.,"['Lunch', 'No Alcohol Available', 'Dinner', 'Debit Card', 'Indoor Seating', 'Table Reservation Not Required']",3.9,Good,480,11,0,1,-1
3000195,Valarmathi Kongunaatu Samayal,['Casual Dining'],https://www.zomato.com/coimbatore/valarmathi-kongunaatu-samayal-race-course?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"207/A, CSI Compound, Opposite Photo Centre, Race Course, Coimbatore",Coimbatore,30,Race Course,11.001778055,76.9760167971,641018,1,"Race Course, Coimbatore","South Indian, Biryani","12noon – 4pm, 7pm – 11pm (Mon-Sun)",450,2,Rs.,"['Dinner', 'Cash', 'Lunch', 'No Alcohol Available', 'Indoor Seating', 'Table booking recommended']",4.7,Excellent,745,256,0,-1,-1
3001572,The French Door Cafe & Restaurant,['Café'],https://www.zomato.com/coimbatore/the-french-door-cafe-restaurant-rs-puram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"102, West Bashyakaralu Road, RS Puram, Coimbatore",Coimbatore,30,RS Puram,11.0137631621,76.9468960539,641002,1,"RS Puram, Coimbatore","Cafe, Continental, French, North Indian, European","11AM to 11PM (Mon-Sat),10AM to 11PM (Sun)",1500,4,Rs.,"['Lunch', 'Cash', 'Dinner', 'Delivery', 'Credit Card', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Private Dining Area Available', 'Indoor Seating', 'Desserts and Bakes', 'Smoking Area', 'Table booking recommended', 'Outdoor Seating', 'Axis Bank - Dining Delights', 'Air Conditioned', 'Kid Friendly', 'Free Parking']",4.7,Excellent,451,648,0,1,-1
3000208,Ajay's Delhi Wala Sweet Home,['Dessert Parlour'],https://www.zomato.com/coimbatore/ajays-delhi-wala-sweet-home-gandhipuram?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"172-175, Shastri Road, Ram Nagar, Gandhipuram, Coimbatore",Coimbatore,30,Gandhipuram,11.0119438874,76.9624045864,,1,"Gandhipuram, Coimbatore","North Indian, Desserts, Street Food",8 AM to 10 PM,400,2,Rs.,"['Cash', 'Lunch', 'Breakfast', 'Delivery', 'Debit Card', 'Takeaway Available', 'Credit Card', 'Dinner', 'No Alcohol Available', 'Pure Veg', 'Digital Payments Accepted', 'Serves Jain Food', 'Indoor Seating']",4.4,Very Good,586,171,0,1,-1
3000280,Denmarrk Drive-Inn Restaurant,['Casual Dining'],https://www.zomato.com/coimbatore/denmarrk-drive-inn-restaurant-1-nehru-stadium?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"17, Opposite Zoo Park, Nehru Stadium, Coimbatore",Coimbatore,30,Nehru Stadium,11.007493396400001,76.9698359817,,1,"Nehru Stadium, Coimbatore","North Indian, Chinese",12:30 PM to 11 PM,400,2,Rs.,"['Credit Card', 'Delivery', 'Lunch', 'No Alcohol Available', 'Dinner', 'Indoor Seating', 'Table Reservation Not Required']",4.2,Very Good,377,51,0,1,-1
