pg_name,area,latitude,longitude,listing_url,images,price_per_month,room_type,food_included,wifi,ac,rating,review_count,contact_number,distance_to_city_center_km,description
Whats Up Mens Hostel,E B Colony Saravanampatti,11.077875355269,76.998464372081,https://www.justdial.com/Coimbatore/Whats-Up-Mens-Hostel-Near-Kg-Isl-Saravanampatti/0422PX422-X422-140819100157-X4N9_BZDET,https://content.jdmagicbox.com/comp/coimbatore/n9/0422px422.x422.140819100157.x4n9/catalogue/whats-up-mens-hostel-coimbatore-0bpzidzatj.jpg | https://content.jdmagicbox.com/comp/coimbatore/n9/0422px422.x422.140819100157.x4n9/catalogue/whats-up-mens-hostel-saravanampatti-coimbatore-hostels-for-men-q698l5kene.jpg | https://content.jdmagicbox.com/comp/coimbatore/n9/0422px422.x422.140819100157.x4n9/catalogue/whats-up-mens-hostel-saravanampatti-coimbatore-hostels-for-men-cto9lri47t.jpg | https://content.jdmagicbox.com/comp/coimbatore/n9/0422px422.x422.140819100157.x4n9/catalogue/whats-up-mens-hostel-saravanampatti-coimbatore-hostels-for-men-jdea68c51n.jpg | https://content.jdmagicbox.com/comp/coimbatore/n9/0422px422.x422.140819100157.x4n9/catalogue/whats-up-mens-hostel-saravanampatti-coimbatore-hostels-for-men-xitvet2kc8.jpg,Call for Price,"Hostels For Men, Paying Guest Accommodations",No,No,No,4.3,"1,093",08485917960,8.23,"A B Whats UP Building, E B Colony, Saravanampatti, Coimbatore - 641035 (Near KG Isl)"
V C Mansion,Nalvar Layout Saravanampatti,11.0833387,76.9936085,https://www.justdial.com/Coimbatore/V-C-Mansion-Behind-H-P-Petrol-Bunk-Bsnl-Exchange-Saravanampatti/0422PX422-X422-160619132101-T6C2_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/c2/0422px422.x422.160619132101.t6c2/catalogue/v-c-mansion-saravanampatti-coimbatore-hostels-mvf8tcerok.jpg | https://content.jdmagicbox.com/comp/coimbatore/c2/0422px422.x422.160619132101.t6c2/catalogue/v-c-mansion-saravanampatti-coimbatore-hostels-6n1285h6oq.jpg | https://content.jdmagicbox.com/comp/coimbatore/c2/0422px422.x422.160619132101.t6c2/catalogue/v-c-mansion-saravanampatti-coimbatore-hostels-qlzqx6ukj7.jpg | https://content.jdmagicbox.com/comp/coimbatore/c2/0422px422.x422.160619132101.t6c2/catalogue/v-c-mansion-saravanampatti-coimbatore-hostels-o0y4793chi.jpg | https://content.jdmagicbox.com/comp/coimbatore/c2/0422px422.x422.160619132101.t6c2/catalogue/v-c-mansion-saravanampatti-coimbatore-hostels-w713czojxm.jpg,Call for Price,"Paying Guest Accommodations For Men, Paying Guest Accommodations",No,No,No,4,137,08734001410,8.47,"Nalvar Layout, Saravanampatti, Coimbatore - 641035 (Behind H P Petrol Bunk  & BSNL Exchange)"
Sky Mens Hostel,Hari Gardens Saravanampatti,11.079713972222,76.999741,https://www.justdial.com/Coimbatore/Sky-Mens-Hostel-Kgicl-Sez-It-Park-Saravanampatti/0422PX422-X422-230219175708-R4K2_BZDET,https://content.jdmagicbox.com/comp/coimbatore/k2/0422px422.x422.230219175708.r4k2/catalogue/sky-mens-hostel-saravanampatti-coimbatore-hostels-q6ya37dcjh.jpg | https://content.jdmagicbox.com/comp/coimbatore/k2/0422px422.x422.230219175708.r4k2/catalogue/sky-mens-hostel-saravanampatti-coimbatore-hostels-6193lck2wi.jpg | https://content.jdmagicbox.com/comp/coimbatore/k2/0422px422.x422.230219175708.r4k2/catalogue/sky-mens-hostel-saravanampatti-coimbatore-hostels-q4x5d0rha8.jpg | https://content.jdmagicbox.com/comp/coimbatore/k2/0422px422.x422.230219175708.r4k2/catalogue/sky-hostel-saravanampatti-coimbatore-hostels-skdgn7egzy.jpg | https://content.jdmagicbox.com/comp/coimbatore/k2/0422px422.x422.230219175708.r4k2/catalogue/sky-mens-hostel-saravanampatti-coimbatore-hostels-3fq6ye40xo.jpg,Call for Price,"Paying Guest Accommodations For Men, Hostels For Men",No,No,No,4.6,36,08733018012,8.48,"SKY MEN'S PG HOSTEL, Hari Gardens, Saravanampatti, Coimbatore - 641035 (KGiCL SEZ IT PARK)"
Vishnu Graand,Alemelu Nagar Hopes,11.026285,77.018575,https://www.justdial.com/Coimbatore/Vishnu-Graand-Near-Bya1Rhr-Hopes/0422PX422-X422-260207125041-B3C6_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/c6/0422px422.x422.260207125041.b3c6/catalogue/vishnu-grand-hopes-coimbatore-paying-guest-accommodations-for-men-vspr7vot0m.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/c6/0422px422.x422.260207125041.b3c6/catalogue/vishnu-grand-hopes-coimbatore-paying-guest-accommodations-for-men-7zso7f62gf.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/c6/0422px422.x422.260207125041.b3c6/catalogue/vishnu-grand-hopes-coimbatore-paying-guest-accommodations-for-men-dd3f3d2w6p.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/c6/0422px422.x422.260207125041.b3c6/catalogue/vishnu-grand-hopes-coimbatore-paying-guest-accommodations-for-men-olf7scy7p4.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/c6/0422px422.x422.260207125041.b3c6/catalogue/vishnu-grand-hopes-coimbatore-paying-guest-accommodations-for-men-00pvx7zfut.jpg,Call for Price,"Paying Guest Accommodations For Men, Hostels For Men",No,No,Yes,5,1,08105030709,6.93,"Alemelu Nagar, Hopes, Coimbatore - 641004 (Near ByA1,RHR)"
Infinity Living,Udayampalayam Road Udayampalayam,11.0207352,76.990051,https://www.justdial.com/Coimbatore/Infinity-Living-Near-Nava-India-Udayampalayam/0422PX422-X422-241014165554-C7B5_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/b5/0422px422.x422.241014165554.c7b5/catalogue/qoqiw0kg687qlj4-kzur2bw20h.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/b5/0422px422.x422.241014165554.c7b5/catalogue/infinity-living-sowripalayam-coimbatore-hostels-x9q18p099a.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/b5/0422px422.x422.241014165554.c7b5/catalogue/infinity-living-sowripalayam-coimbatore-hostels-ej6o9wzj8n.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/b5/0422px422.x422.241014165554.c7b5/catalogue/infinity-living-udayampalayam-coimbatore-hostels-ahw2345vny.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/b5/0422px422.x422.241014165554.c7b5/catalogue/infinity-living-udayampalayam-coimbatore-hostels-grbzjertl3.jpg,Call for Price,"Hostels For Women, Paying Guest Accommodations For Women",Yes,No,Yes,4.9,100,NA,3.76,"INFINITY LIVING, Udayampalayam Road, Udayampalayam, Coimbatore - 641028 (Near Nava India)"
Nivara Stays,Nehru Nagar West Coimbatore Aerodrome,11.0362828,77.0395461,https://www.justdial.com/Coimbatore/Nivara-Stays-Aroma-Bakery-Opp-Road-Coimbatore-Aerodrome/0422PX422-X422-251110122024-H3J7_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/j7/0422px422.x422.251110122024.h3j7/catalogue/nivara-stays-coimbatore-aerodrome-coimbatore-paying-guest-accommodations-for-women-gso4jwbfib.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/j7/0422px422.x422.251110122024.h3j7/catalogue/g5i2z5o8yy1cp6v-3p2w3k6wjc.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/j7/0422px422.x422.251110122024.h3j7/catalogue/nivara-stays-coimbatore-aerodrome-coimbatore-paying-guest-accommodations-for-women-8vniglv2q8.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/j7/0422px422.x422.251110122024.h3j7/catalogue/nivara-stays-coimbatore-aerodrome-coimbatore-paying-guest-accommodations-for-women-ffu4xvicpj.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/j7/0422px422.x422.251110122024.h3j7/catalogue/nivara-stays-coimbatore-aerodrome-coimbatore-paying-guest-accommodations-for-women-4e87qn79jf.jpg,Call for Price,"Paying Guest Accommodations For Women, Paying Guest Accommodations",Yes,No,No,5,1,09972316278,9.39,"3rd Street , Nehru Nagar West, Coimbatore Aerodrome, Coimbatore - 641014 (Aroma Bakery Opp Road)"
Lara Ladies Hostel,Sri Sai Nagar Sundarapuram,10.960186111111,76.979197222222,https://www.justdial.com/Coimbatore/Lara-Ladies-Hostel-Kammalam-Honda-Showroom-Backside-Sundarapuram/0422PX422-X422-230301185138-U1R5_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/r5/0422px422.x422.230301185138.u1r5/catalogue/lara-ladies-hostel-sundarapuram-coimbatore-hostels-9c7q4dqrmn.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/r5/0422px422.x422.230301185138.u1r5/catalogue/lara-ladies-hostel-sundarapuram-coimbatore-hostels-i6zy0o5l26.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/r5/0422px422.x422.230301185138.u1r5/catalogue/lara-ladies-hostel-sundarapuram-coimbatore-hostels-lycd009wgv.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/r5/0422px422.x422.230301185138.u1r5/catalogue/lara-ladies-hostel-sundarapuram-coimbatore-hostels-uhm0ae0h9q.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/r5/0422px422.x422.230301185138.u1r5/catalogue/lara-ladies-hostel-sundarapuram-coimbatore-hostels-6r8fwtdl01.jpg,Call for Price,"Hostels For Women, Paying Guest Accommodations For Women",No,No,No,3.9,70,NA,6.79,"Sri Sai Nagar, Sundarapuram, Coimbatore - 641024 (Kammalam Honda Showroom Backside)"
Kurinji Womens Hostel,Thulak Venkatasamy Street Peelamedu,11.0281089667,77.0043120489,https://www.justdial.com/Coimbatore/Kurinji-Womens-Hostel-Near-Surya-Sweets-Peelamedu/0422PX422-X422-251217170210-J9Y2_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/y2/0422px422.x422.251217170210.j9y2/catalogue/kurinji-womens-hostel-peelamedu-coimbatore-7xvlwe4dax.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/y2/0422px422.x422.251217170210.j9y2/catalogue/kurinji-womens-hostel-peelamedu-coimbatore-5vsr6hxlk5.jpg,Call for Price,"Paying Guest Accommodations For Women, Paying Guest Accommodations",No,No,No,4.6,60,NA,5.44,"Thulak Venkatasamy Street, Peelamedu, Coimbatore - 641004 (Near Surya Sweets)"
Siva PG,Idikari Road Saravanampatti,11.0828167,76.9750706,https://www.justdial.com/Coimbatore/Siva-PG-Near-Sns-College-Of-Education-Saravanampatti/0422PX422-X422-250508113811-V7U7_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/u7/0422px422.x422.250508113811.v7u7/catalogue/je9ui3k31gd5xue-06o42cdh4v.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/u7/0422px422.x422.250508113811.v7u7/catalogue/siva-pg-saravanampatti-coimbatore-paying-guest-accommodations-for-men-11vo6cr7fr.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/u7/0422px422.x422.250508113811.v7u7/catalogue/siva-pg-saravanampatti-coimbatore-paying-guest-accommodations-for-men-ita8t4fu71.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/u7/0422px422.x422.250508113811.v7u7/catalogue/siva-pg-saravanampatti-coimbatore-paying-guest-accommodations-for-men-7zjezr3pw2.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/d6/0422px422.x422.241228115803.u1d6/catalogue/j67vcfkldw9ek5w-yt7ayj58zl.jpg,Call for Price,"Paying Guest Accommodations For Men, Hostels For Men",No,No,No,4.9,8,08511714736,7.64,"Thudiyalur to Saravanapatti Road, Idikari Road, Saravanampatti, Coimbatore - 641035 (Near Sns College Of Education)"
Kumaran Kudil Mens P G,New Keeranatham Road Saravanampatti,11.068244934082,77.006141662598,https://www.justdial.com/Coimbatore/Kumaran-Kudil-Mens-P-G-Near-Chil-Sez-I-T-Park-Saravanampatti-Saravanampatti/0422PX422-X422-250822192838-R6X8_BZDET,https://content.jdmagicbox.com/v2/comp/coimbatore/x8/0422px422.x422.250822192838.r6x8/catalogue/kumaran-kudil-mens-pg-sahara-city-coimbatore-dormitory-services-msjq7bc1if.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/x8/0422px422.x422.250822192838.r6x8/catalogue/kumaran-kudil-mens-pg-sahara-city-coimbatore-dormitory-services-6euty4eacy.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/x8/0422px422.x422.250822192838.r6x8/catalogue/kumaran-kudil-mens-pg-sahara-city-coimbatore-dormitory-services-1qs77yu1aj.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/x8/0422px422.x422.250822192838.r6x8/catalogue/kumaran-kudil-mens-pg-sahara-city-coimbatore-dormitory-services-g3nemv5m3c.jpg | https://content.jdmagicbox.com/v2/comp/coimbatore/x8/0422px422.x422.250822192838.r6x8/catalogue/kumaran-kudil-mens-pg-sahara-city-coimbatore-dormitory-services-wtr4a347ll.jpg,Call for Price,"Paying Guest Accommodations For Men, Hostels For Men",No,No,No,4.7,11,09980255270,7.93,"Kumaran Kudil Mens P G, New Keeranatham Road, Saravanampatti, Coimbatore - 641035 (Near Chil Sez I T Park, Saravanampatti)"
